DATE,HPA,HPD,Cie,Ligne,Esc 1,Immat,Type app,PKG,Remarque,Comment,Terminal
9/4/2022,16:55,,DTH,1327,AAE,7TVCF,B738,PA1,ARRIVE 17:25,98PAX,T2
9/4/2022,17:05,,DAH,6239,TMR,7TVKA,B738,PA1,ARRIVE 17:10,124PX,T2
9/4/2022,17:10,,DTH,2321,AZR,7TVCE,B738,PA1,ARRIVE 17:10,20PAX,T2
9/4/2022,17:15,,DAH,6297,INZ,7TVUI,ATR72,PA1,ARRIVE 17:20,64PX,T2
9/4/2022,,17:20,DAH,6222,HME,7TVJT,B736,P9,DECOLLE 17:09,DAH 6143 AZR 15H00/54PX,T2
9/4/2022,17:30,,DAH,6185,ORN,7TVJS,B736,P9,ARRIVE 17:22,82PX,T2
9/4/2022,17:40,,DAH,6057,GJL,7TVJU,B736,P11A,ARRIVE 16:45,102PX,T2
9/4/2022,17:40,,DAH,6343,TMR,7TVKC,B738,PA1,ARRIVE 17:15,,T2
9/4/2022,17:45,,DAH,6473,DJG,7TVKB,B738,PA1,ARRIVE 17:35,49PX,T2
9/4/2022,18:00,,DAH,1021,MRS,7TVJW,A330,P21,ARRIVE 18:38,301PX,T4
9/4/2022,,18:00,DTH,1802,HME,7TVCD,B738,P12,DECOLLE 17:44,SF 1155 HRM 1615/118PAX,T2
9/4/2022,18:05,,VLG,7991,MRS,,A320,P16,ARRIVE 18:12,148PX,T4
9/4/2022,18:20,,DAH,3017,IST,7TVKO,B738,P15,ARRIVE 18:34,107PX,T4
9/4/2022,,18:20,DAH,6026,CZL,7TVJU,B736,P11A,DECOLLE 18:40,AH 6157 TMX 14H30 26PX,T4
9/4/2022,,18:30,DAH,6106,ORN,7TVJS,B736,P9,DECOLLE 18:36,DAH 6185 AAE 17H30 69PX,T2
9/4/2022,18:40,,DAH,6193,CZL,7TVKE,B738,P12,ARRIVE 18:44,88PX,T2
9/4/2022,,18:40,DAH,6006,AAE,7TVKL,B738,P10C,DECOLLE 18:50,A TRACTE,T2
9/4/2022,,19:05,VLG,7990,MRS,,A320,P16,DECOLLE 19:15,109PX,T4
9/4/2022,19:15,,DTH,1841,CZL,7TVCC,B738,P11A,ARRIVE 19:28,,T2
9/4/2022,19:25,,DAH,6177,AAE,7TVUO,ATR72,PA1,ARRIVE 19:30,66PX,T2
9/4/2022,19:25,,DAH,6521,ELG,7TVUQ,ATR72,PA1,ARRIVE 18:55,55PAX,T2
9/4/2022,19:35,,DAH,6292,TMR,7TVKP,B738,P9,ARRIVE 19:45,131PAX,T2
9/4/2022,21:00,,DAH,2015,BCN,7TVJZ,A330,P24B,ARRIVE 20:56,248PX,T4
